2022-10-07 11:11:39 [    INFO]----start--------start--------start--------start--------start--------start----开始执行登陆操作----start--------start--------start--------start--------start--------start---- (login.py:17)
2022-10-07 11:11:40 [    INFO]成功登录 (login.py:89)
2022-10-07 11:11:40 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_收货暂存区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:41 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_备货区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:41 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_存储区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:41 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_待检区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:42 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_退货区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:42 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_冷冻区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:42 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_冷藏区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:42 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_报废区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:43 [    INFO]----start--------start--------start--------start--------start--------start----查询库区信息----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:43 [    INFO]----start--------start--------start--------start--------start--------start----新增库位----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:43 [    INFO]----start--------start--------start--------start--------start--------start----查询商品信息----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:11:44 [    INFO]----start--------start--------start--------start--------start--------start----新增到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:12:06 [    INFO]----start--------start--------start--------start--------start--------start----查询到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:12:06 [    INFO]----start--------start--------start--------start--------start--------start----查询指定确认到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:12:07 [    INFO]----start--------start--------start--------start--------start--------start----确认到货----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-07 11:12:07 [    INFO]----start--------start--------start--------start--------start--------start----查询可选库区类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:07 [    INFO]----start--------start--------start--------start--------start--------start----查询可选温区类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:08 [    INFO]----start--------start--------start--------start--------start--------start----查询可选库位类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:08 [    INFO]----start--------start--------start--------start--------start--------start----查询可选货主----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:08 [    INFO]----start--------start--------start--------start--------start--------start----查询可选入库业务类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:08 [    INFO]----start--------start--------start--------start--------start--------start----查询可用到货方式----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:09 [    INFO]----start--------start--------start--------start--------start--------start----查询可选商品类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:09 [    INFO]----start--------start--------start--------start--------start--------start----查询可选出库业务类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:09 [    INFO]----start--------start--------start--------start--------start--------start----查询发货可选方式类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-07 11:12:10 [    INFO]----start--------start--------start--------start--------start--------start----开始拷贝日志文件----start--------start--------start--------start--------start--------start---- (conftest.py:28)
