2022-10-06 19:21:16 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_收货暂存区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:17 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_备货区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:17 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_存储区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:17 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_待检区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:18 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_退货区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:18 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_冷冻区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:18 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_冷藏区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:19 [    INFO]----start--------start--------start--------start--------start--------start----增加库区_报废区----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:19 [    INFO]----start--------start--------start--------start--------start--------start----查询库区信息----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:19 [    INFO]----start--------start--------start--------start--------start--------start----新增库位----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:20 [    INFO]----start--------start--------start--------start--------start--------start----查询商品信息----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:20 [    INFO]----start--------start--------start--------start--------start--------start----新增到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:20 [    INFO]----start--------start--------start--------start--------start--------start----查询到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:21 [    INFO]----start--------start--------start--------start--------start--------start----查询指定确认到货通知单----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:21 [    INFO]----start--------start--------start--------start--------start--------start----确认到货----start--------start--------start--------start--------start--------start---- (test_create_area.py:28)
2022-10-06 19:21:21 [    INFO]----start--------start--------start--------start--------start--------start----查询可选库区类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:22 [    INFO]----start--------start--------start--------start--------start--------start----查询可选温区类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:22 [    INFO]----start--------start--------start--------start--------start--------start----查询可选库位类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:22 [    INFO]----start--------start--------start--------start--------start--------start----查询可选货主----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:23 [    INFO]----start--------start--------start--------start--------start--------start----查询可选入库业务类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:23 [    INFO]----start--------start--------start--------start--------start--------start----查询可用到货方式----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:23 [    INFO]----start--------start--------start--------start--------start--------start----查询可选商品类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:24 [    INFO]----start--------start--------start--------start--------start--------start----查询可选出库业务类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:24 [    INFO]----start--------start--------start--------start--------start--------start----查询发货可选方式类型----start--------start--------start--------start--------start--------start---- (test_basic_inquire.py:23)
2022-10-06 19:21:24 [    INFO]----start--------start--------start--------start--------start--------start----开始拷贝日志文件----start--------start--------start--------start--------start--------start---- (conftest.py:28)
